Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Genarp PST;22128142;Övriga stationer;1.407

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 timme, 1 gång/tim;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2023-09-01 00:00:00;2024-11-29 00:20:16;32.308;55.6078;13.3960

Datum;Tid (UTC);Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2024-10-08;21:00:00;0.8;Y
2024-10-08;22:00:00;0.4;Y
2024-10-08;23:00:00;1.4;Y
2024-10-09;00:00:00;0.6;Y
2024-10-09;01:00:00;0.6;Y
2024-10-09;02:00:00;0.2;Y
2024-10-09;03:00:00;0.2;Y
2024-10-09;12:00:00;0.2;Y
2024-10-09;13:00:00;0.6;Y
2024-10-09;14:00:00;3.0;Y
2024-10-09;15:00:00;1.2;Y
2024-10-09;16:00:00;0.2;Y
2024-10-09;20:00:00;0.2;Y
2024-10-09;21:00:00;0.8;Y
2024-10-09;22:00:00;2.8;Y
2024-10-09;23:00:00;1.6;Y
2024-10-10;00:00:00;2.6;Y
2024-10-10;01:00:00;3.0;Y
2024-10-10;02:00:00;2.6;Y
2024-10-10;03:00:00;2.2;Y
2024-10-10;04:00:00;3.0;Y
2024-10-10;05:00:00;2.8;Y
2024-10-10;06:00:00;2.8;Y
2024-10-10;07:00:00;1.8;Y
2024-10-10;08:00:00;0.2;Y
2024-10-10;09:00:00;1.4;Y
2024-10-13;02:00:00;0.2;Y
2024-10-13;03:00:00;1.0;Y
2024-10-13;04:00:00;1.0;Y
2024-10-13;05:00:00;1.8;Y
2024-10-13;06:00:00;2.2;Y
2024-10-13;07:00:00;1.0;Y
2024-10-13;08:00:00;0.2;Y
2024-10-21;03:00:00;0.4;Y
2024-10-21;14:00:00;0.4;Y
2024-10-22;01:00:00;1.0;Y
2024-10-22;02:00:00;2.0;Y
2024-10-22;03:00:00;2.6;Y
2024-10-22;04:00:00;2.4;Y
2024-10-22;05:00:00;1.2;Y
2024-10-22;06:00:00;0.8;Y
2024-10-22;07:00:00;0.8;Y
2024-10-27;12:00:00;0.8;Y
2024-10-27;13:00:00;0.4;Y
2024-10-27;15:00:00;0.2;Y
2024-10-27;16:00:00;0.8;Y
2024-10-28;08:00:00;0.2;Y
2024-10-28;09:00:00;0.6;Y
2024-10-28;10:00:00;0.8;Y
2024-10-28;20:00:00;0.2;Y
2024-10-28;23:00:00;0.2;Y
2024-10-29;02:00:00;0.2;Y
2024-10-29;04:00:00;0.6;Y
2024-10-29;15:00:00;0.6;Y
2024-10-29;16:00:00;0.2;Y
2024-10-29;19:00:00;0.2;Y
2024-11-10;17:00:00;0.2;Y
2024-11-11;05:00:00;0.4;Y
2024-11-11;06:00:00;1.0;Y
2024-11-11;07:00:00;0.6;Y
2024-11-11;08:00:00;0.2;Y
2024-11-11;15:00:00;0.2;Y
2024-11-11;16:00:00;0.2;Y
2024-11-11;18:00:00;0.2;Y
2024-11-13;21:00:00;0.2;Y
2024-11-15;04:00:00;0.2;Y
2024-11-16;14:00:00;0.8;Y
2024-11-16;15:00:00;0.4;Y
2024-11-16;16:00:00;0.4;Y
2024-11-16;17:00:00;0.2;Y
2024-11-18;00:00:00;0.2;Y
2024-11-19;13:00:00;0.2;Y
2024-11-19;15:00:00;0.2;Y
2024-11-19;16:00:00;0.4;Y
2024-11-19;17:00:00;0.4;Y
2024-11-19;18:00:00;0.4;Y
2024-11-19;19:00:00;0.2;Y
2024-11-19;20:00:00;0.4;Y
2024-11-19;22:00:00;0.2;Y
2024-11-19;23:00:00;0.2;Y
2024-11-20;00:00:00;0.2;Y
2024-11-20;01:00:00;0.2;Y
2024-11-20;02:00:00;0.2;Y
2024-11-21;10:00:00;1.6;Y
2024-11-21;11:00:00;0.6;Y
2024-11-23;09:00:00;0.8;Y
2024-11-23;10:00:00;4.8;Y
2024-11-23;11:00:00;3.0;Y
2024-11-23;17:00:00;0.2;Y
2024-11-23;22:00:00;1.0;Y
2024-11-23;23:00:00;0.6;Y
2024-11-24;00:00:00;0.8;Y
2024-11-24;01:00:00;0.8;Y
2024-11-24;02:00:00;1.0;Y
2024-11-24;03:00:00;0.6;Y
2024-11-24;08:00:00;0.2;Y
2024-11-24;09:00:00;0.4;Y
2024-11-24;10:00:00;0.4;Y
2024-11-24;11:00:00;0.6;Y
2024-11-24;12:00:00;0.8;Y
2024-11-24;13:00:00;0.8;Y
2024-11-24;14:00:00;0.6;Y
2024-11-24;15:00:00;0.6;Y
2024-11-24;16:00:00;0.4;Y
2024-11-24;17:00:00;0.4;Y
2024-11-24;18:00:00;0.2;Y
2024-11-25;16:00:00;0.2;Y
2024-11-25;17:00:00;0.2;Y
2024-11-27;22:00:00;0.2;Y
2024-11-27;23:00:00;0.4;Y
2024-11-28;00:00:00;0.4;Y
2024-11-28;01:00:00;0.4;Y
2024-11-28;02:00:00;0.6;Y
2024-11-28;03:00:00;0.6;Y
2024-11-28;04:00:00;0.2;Y
2024-11-28;05:00:00;0.4;Y
